"X"	"DE"
"236"	"ENSG00000265945"	FALSE
"237"	"ENSG00000142657"	FALSE
"238"	"ENSG00000271989"	FALSE
"239"	"ENSG00000175279"	FALSE
"240"	"ENSG00000241563"	FALSE
"241"	"ENSG00000160049"	TRUE
"242"	"ENSG00000203469"	FALSE
"243"	"ENSG00000142655"	FALSE
"244"	"ENSG00000130940"	TRUE
"245"	"ENSG00000272078"	TRUE
"246"	"ENSG00000175262"	FALSE
"247"	"ENSG00000264181"	FALSE
"248"	"ENSG00000120948"	TRUE
"249"	"ENSG00000009724"	FALSE
"250"	"ENSG00000271895"	TRUE
"251"	"ENSG00000116649"	TRUE
"252"	"ENSG00000171824"	TRUE
"253"	"ENSG00000226849"	FALSE
"254"	"ENSG00000230337"	FALSE
"255"	"ENSG00000198793"	FALSE
"256"	"ENSG00000225602"	FALSE
"257"	"ENSG00000238173"	FALSE
"258"	"ENSG00000120942"	FALSE
"259"	"ENSG00000238199"	FALSE
"260"	"ENSG00000204624"	FALSE
"261"	"ENSG00000235643"	FALSE
"262"	"ENSG00000116661"	FALSE
"263"	"ENSG00000132879"	TRUE
"264"	"ENSG00000116663"	FALSE
"265"	"ENSG00000116670"	FALSE
"266"	"ENSG00000162490"	FALSE
"267"	"ENSG00000177674"	FALSE
"268"	"ENSG00000215910"	TRUE
"269"	"ENSG00000177553"	FALSE
"270"	"ENSG00000177000"	TRUE
"271"	"ENSG00000011021"	FALSE
"272"	"ENSG00000242349"	TRUE
"273"	"ENSG00000175206"	FALSE
"274"	"ENSG00000224904"	FALSE
"275"	"ENSG00000116685"	FALSE
"276"	"ENSG00000083444"	FALSE
"277"	"ENSG00000116688"	FALSE
"278"	"ENSG00000116691"	FALSE
"279"	"ENSG00000202461"	FALSE
"280"	"ENSG00000227875"	FALSE
"281"	"ENSG00000028137"	FALSE
"282"	"ENSG00000048707"	TRUE
"283"	"ENSG00000239149"	FALSE
"284"	"ENSG00000162496"	TRUE
"285"	"ENSG00000157330"	FALSE
"286"	"ENSG00000179172"	FALSE
"287"	"ENSG00000179412"	FALSE
"288"	"ENSG00000162493"	FALSE
"289"	"ENSG00000266358"	FALSE
"290"	"ENSG00000237445"	FALSE
"291"	"ENSG00000116731"	TRUE
"292"	"ENSG00000189337"	FALSE
"293"	"ENSG00000175147"	FALSE
"294"	"ENSG00000171729"	FALSE
"295"	"ENSG00000142621"	FALSE
"296"	"ENSG00000233485"	FALSE
"297"	"ENSG00000228140"	FALSE
"298"	"ENSG00000142634"	TRUE
"299"	"ENSG00000162438"	FALSE
"300"	"ENSG00000142615"	FALSE
"301"	"ENSG00000132906"	TRUE
"302"	"ENSG00000116138"	FALSE
"303"	"ENSG00000272510"	FALSE
"304"	"ENSG00000116771"	FALSE
"305"	"ENSG00000237301"	FALSE
"306"	"ENSG00000235084"	FALSE
"307"	"ENSG00000197312"	TRUE
"308"	"ENSG00000116786"	TRUE
"309"	"ENSG00000237938"	FALSE
"310"	"ENSG00000162461"	FALSE
"311"	"ENSG00000224459"	FALSE
"312"	"ENSG00000162458"	TRUE
"313"	"ENSG00000224321"	FALSE
"314"	"ENSG00000233954"	FALSE
"315"	"ENSG00000178715"	FALSE
"316"	"ENSG00000179743"	TRUE
"317"	"ENSG00000065526"	FALSE
"318"	"ENSG00000116809"	FALSE
"319"	"ENSG00000183888"	TRUE
